Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,7.08,-1.78,1.06,5.58,7.78,4.79,4.74,4.65,3.46,9.94,4.88
3-Year Average,7.41,4.14,2.05,1.58,4.77,6.04,5.76,4.73,4.28,5.98,
5-Year Average,7.5,4.67,4.23,3.8,3.88,3.43,4.77,5.5,5.07,5.49,
10-Year Average,9.37,7.78,6.79,6.08,6.14,5.44,4.72,4.86,4.44,4.68,
