Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,24.56,23.46,20.42,19.76,20.54,20.38,18.75,18.39,18.33,17.69,17.69
Gross Margin,75.44,76.54,79.58,80.24,79.46,79.62,81.25,81.61,81.67,82.31,82.31
SG&A,28.52,22.05,19.95,17.64,16.4,14.76,13.66,12.64,13.62,13.02,13.02
R&D,,,,,,,,,,,
Other,27.26,3.3,2.73,3.21,42.54,3.4,6.99,3.66,15.79,3.13,3.13
Operating Margin,19.67,51.19,56.9,59.38,20.53,61.46,60.6,65.3,52.27,66.15,66.15
Net Int Inc & Other,1.66,6.68,0.61,2.18,0.65,0.15,0.21,-0.5,0.86,-2.45,-2.45
EBT Margin,21.33,57.88,57.51,61.56,21.18,61.61,60.81,64.81,53.12,63.7,63.7
