Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,2.42,-93.13,586.01,73.11,-11.66,48.05,-3.15,-18.34,-64.31,352.52,
Free Cash Flow Growth % YOY,52.73,,,98.06,-67.07,243.63,2.47,-19.65,,,
Cap Ex as a % of Sales,5.27,3.01,1.29,0.7,4.85,2.3,1.99,1.83,4.73,7.74,3.64
Free Cash Flow/Sales %,5.35,-2.25,5.28,7.91,2.52,8.9,10.55,8.78,-1.23,6.75,9.26
Free Cash Flow/Net Income,0.73,-0.33,0.91,0.78,0.22,1.19,1.93,2.95,-0.38,2.42,2.62
