Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,36.91,-68.33,65.7,-32.82,73.74,1.6,,,-31.77,
3-Year Average,7.41,26.16,,-10.43,-29.35,24.59,5.85,,33.77,17.14,
5-Year Average,-7.45,6.36,-11.68,1.06,,-3.45,-9.05,,22.82,23.19,
10-Year Average,,,,-8.03,-9.03,-5.47,-1.64,,11.41,,
