Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,67.1,72.0,67.39,69.85,72.16,63.47,61.36
Gross Margin,,,,,32.9,28.0,32.61,30.15,27.84,36.53,38.64
SG&A,,,,,8.68,7.66,8.45,9.9,14.04,12.65,14.27
R&D,,,,,1.41,1.49,1.84,3.17,5.4,4.87,4.82
Other,,,,,4.03,3.87,2.87,3.52,4.55,3.34,3.01
Operating Margin,,,,,18.79,14.98,19.46,13.57,3.85,15.68,16.54
Net Int Inc & Other,,,,,-0.66,0.64,0.24,-0.54,-0.17,-0.12,-0.02
EBT Margin,,,,,18.13,15.63,19.7,13.03,3.68,15.56,16.51
