Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-7.67,-6.63,40.25,12.9,11.82,7.79,8.07,-9.42,
3-Year Average,,,,,6.54,13.92,20.98,10.82,9.21,1.81,
5-Year Average,,,,,,,8.83,12.25,15.58,5.9,
10-Year Average,,,,,,,,,,,
