Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,294.09,-94.49,823.97,41.63,-44.13,231.31,-24.64,13.78,46.16,15.68,
3-Year Average,,,26.09,-10.35,94.09,37.89,11.74,41.63,7.81,24.37,
5-Year Average,,,,,9.67,5.93,78.76,17.59,18.33,36.87,
10-Year Average,,,,,,,,,,22.52,
