Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-33.81,-21.2,-20.69,127.83,-28.24,-19.68,26.49,34.56,9.73,23.4,34.04
3-Year Average,20.56,1.42,-25.49,12.5,9.04,9.5,-10.0,10.98,23.15,22.14,
5-Year Average,,16.35,1.84,13.52,-7.53,-3.88,5.67,17.45,1.48,13.11,
10-Year Average,4.95,18.98,3.19,4.36,,,10.88,9.36,7.33,2.27,
