Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,20.45,-55.67,100.43,7.51,-0.01,-65.18,-7.45,134.56,85.65,
3-Year Average,,13.09,-8.58,2.29,-1.51,29.16,-27.93,-31.44,-8.9,59.14,
5-Year Average,,26.76,-3.01,5.14,10.49,2.84,-19.76,-7.03,-4.06,7.01,
10-Year Average,,23.56,4.98,10.41,15.01,15.84,0.85,-5.05,0.43,8.74,
