Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,12.69,-57.45,113.51,50.13,9.46,15.42,-10.62,-38.64,-21.45,
3-Year Average,,12.37,-19.81,0.79,10.9,51.95,23.78,4.13,-14.14,-24.47,
5-Year Average,,26.13,-9.08,5.21,10.57,10.96,11.5,29.34,0.79,-11.46,
10-Year Average,,7.23,13.83,14.41,,25.38,18.59,8.44,2.98,-1.05,
