Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,36.51,-33.59,-12.43,53.53,31.42,24.08,-18.2,11.55,8.24,19.33,
Free Cash Flow Growth % YOY,78.14,-89.95,475.56,46.54,19.9,49.86,-36.13,-20.66,21.69,84.14,
Cap Ex as a % of Sales,5.52,7.02,4.34,4.89,5.53,5.67,5.62,6.78,7.2,5.52,5.65
Free Cash Flow/Sales %,5.81,0.59,4.52,4.64,4.42,6.56,4.05,2.88,3.62,5.9,5.61
Free Cash Flow/Net Income,1.07,-0.87,6.63,0.7,0.57,0.94,0.48,0.36,0.48,4.52,1.81
