Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-12.74,66.1,6.18,9.24,14.14,0.88,1.86,-9.3,-10.11,8.38,44.08
3-Year Average,3.09,17.01,15.46,24.43,9.8,7.95,5.46,-2.32,-6.01,-4.04,
5-Year Average,12.92,17.87,14.08,13.19,13.92,17.27,6.35,3.05,-0.89,-1.91,
10-Year Average,3.71,7.86,7.85,9.08,12.2,15.08,11.96,8.42,5.92,5.71,
