Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,54.7,-96.61,252.78,892.72,58.14,-5.59,13.59,12.69,-2.49,-75.96,83.57
3-Year Average,11.18,-64.55,-43.02,5.89,281.17,145.64,19.25,6.51,7.67,-35.84,
5-Year Average,11.01,-44.35,-30.31,9.31,23.77,12.13,126.33,80.14,13.26,-22.3,
10-Year Average,9.43,-21.37,-14.5,7.13,18.94,11.57,12.22,12.04,11.27,-1.93,
