Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,9.49,5.57,-2.59,26.12,0.63,2.12,-5.4,3.32,,-3.81,-3.53
3-Year Average,-3.42,9.3,4.03,9.06,7.33,9.03,-0.94,-0.06,-0.76,-0.21,
5-Year Average,7.77,0.21,-1.52,9.91,7.4,5.92,3.62,4.84,0.09,-0.81,
10-Year Average,,21.9,12.6,13.47,10.29,6.84,1.9,1.61,4.89,3.21,
