Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,76.66,16.61,73.35,-16.7,14.0,5.95,-9.22,15.47,
3-Year Average,,111.99,,,52.85,18.97,18.08,0.21,3.12,3.56,
5-Year Average,,,53.32,81.37,,,27.66,15.26,9.63,1.07,
10-Year Average,,,,,,,,32.93,41.01,,
