Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,-4.5,-42.73,71.44,16.01,-15.23,-20.79,-1.27,22.03,-15.73,24.18,
Free Cash Flow Growth % YOY,-11.42,-53.79,156.32,12.24,-13.61,-16.52,-3.95,39.68,-12.78,22.37,
Cap Ex as a % of Sales,4.37,3.62,2.79,4.83,3.75,2.25,2.13,1.46,0.96,1.32,1.4
Free Cash Flow/Sales %,7.52,3.77,8.97,13.62,11.38,8.6,7.17,11.02,10.19,11.96,10.82
Free Cash Flow/Net Income,0.46,-0.34,1.16,1.2,2.42,0.34,0.51,0.38,1.01,1.15,1.05
