Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,68.44,68.34,64.05,65.19,65.48,66.22,66.04,65.87,65.09,64.59,64.69
Gross Margin,31.56,31.66,35.95,34.81,34.52,33.78,33.96,34.13,34.91,35.41,35.31
SG&A,16.24,15.81,18.42,16.44,17.26,17.88,16.36,19.2,17.31,17.22,16.66
R&D,,,,,,,,,,,
Other,,5.1,,,,,,,,,
Operating Margin,15.32,10.75,17.53,18.36,17.26,15.9,17.6,14.93,17.61,18.19,18.65
Net Int Inc & Other,-0.79,-1.05,-1.39,-1.65,-1.82,-2.9,-1.74,-5.55,-2.85,-2.85,-2.82
EBT Margin,14.52,9.7,16.14,16.71,15.44,13.01,15.86,9.38,14.75,15.34,15.83
