Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,973.04,-47.12,,,,,
3-Year Average,,,,,189.02,,,,,,
5-Year Average,,,,,,,,,,-32.25,
10-Year Average,,,,-27.21,,,,,,,
