Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,31.75,-63.4,39.92,-7.9,27.24,-6.18,,,-40.4,
3-Year Average,,49.23,,-12.29,-22.16,17.92,3.21,,40.85,21.08,
5-Year Average,-1.0,18.7,,11.22,,-4.59,-10.85,,26.78,16.21,
10-Year Average,,,,3.31,2.73,-2.81,2.87,,18.74,,
