Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-7.09,-21.76,-13.35,3.31,4.66,7.97,4.3,-12.45,41.0,13.29,11.43
3-Year Average,-3.06,-14.12,-14.28,-11.19,-2.15,5.29,5.63,-0.47,8.79,11.83,
5-Year Average,6.79,-2.27,-9.19,-10.73,-7.4,-4.57,1.08,1.29,7.79,9.51,
10-Year Average,16.79,13.44,9.45,8.94,5.14,0.95,-0.61,-4.09,-1.91,0.7,
