Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,77.4,77.72,77.43,77.65,77.56,75.25,72.77,70.52,66.96,64.91,63.54
Gross Margin,22.6,22.28,22.57,22.35,22.44,24.75,27.23,29.48,33.04,35.09,36.46
SG&A,12.61,12.62,12.49,12.86,14.28,15.92,17.26,18.71,19.07,20.06,21.4
R&D,5.51,5.39,5.06,5.07,6.05,7.47,8.82,10.42,11.72,11.83,12.94
Other,0.06,-0.13,0.42,0.31,0.32,0.26,0.15,0.15,0.16,0.12,0.12
Operating Margin,4.42,4.39,4.61,4.11,1.79,1.11,1.0,0.2,2.09,3.08,2.01
Net Int Inc & Other,0.03,0.31,0.13,0.27,0.15,-0.22,-0.32,-0.32,-0.62,-0.22,-0.08
EBT Margin,4.45,4.7,4.74,4.38,1.94,0.89,0.68,-0.12,1.47,2.86,1.92
