Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-43.91,,,,,9.23,176.76,41.98,229.21,-80.73,
3-Year Average,43.49,,,,,,,62.52,134.75,-3.42,
5-Year Average,,,,,-37.65,-28.76,,,,22.18,
10-Year Average,,,,,,,,7.85,5.86,-12.72,
