Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,58.17,59.36,59.84,58.34,60.38,58.34,56.51,55.9,55.29,55.11,56.2
Gross Margin,41.83,40.64,40.16,41.66,39.62,41.66,43.49,44.1,44.71,44.89,43.8
SG&A,16.48,16.77,16.8,17.06,15.92,16.07,17.13,16.43,16.36,18.17,17.41
R&D,8.74,8.24,7.94,8.34,7.88,8.28,8.8,8.21,8.14,8.16,8.29
Other,0.83,0.76,0.79,0.38,0.47,0.06,0.07,0.28,0.75,0.36,1.09
Operating Margin,15.77,14.86,14.63,15.87,15.34,17.25,17.49,19.18,19.46,18.21,17.01
Net Int Inc & Other,-1.34,-2.98,-2.74,-2.16,-1.94,-1.53,-1.05,-1.4,-1.63,-1.4,-1.13
EBT Margin,14.44,11.88,11.89,13.71,13.4,15.72,16.43,17.78,17.83,16.81,15.88
