Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,80.6,92.94,91.42,84.52,87.17,86.48,86.31,87.05,87.26
Gross Margin,,,19.4,7.06,8.58,15.48,12.83,13.52,13.69,12.95,12.74
SG&A,,,,,,,,,,,
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,,,,,,,,,,,
Net Int Inc & Other,,,7.91,-5.02,-2.31,7.34,6.66,8.94,7.82,6.29,5.48
EBT Margin,,,7.91,-5.02,-2.31,7.34,6.66,8.94,7.82,6.29,5.48
