Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.91,-18.58,,,-65.95,-81.33,,,5.41,,-10.29
3-Year Average,-6.95,-23.82,,26.64,-5.3,,,44.37,157.07,,
5-Year Average,25.66,-0.4,,1.98,-4.16,-33.6,,,1.55,,
10-Year Average,,,,,,-8.65,,5.3,1.77,,
