Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,60.74,34.91,3.73,24.59,48.85,11.14,6.9,34.31,16.19,12.6,6.72
Asset Turnover (Average),0.13,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1
Return on Assets %,7.98,3.48,0.35,2.49,4.98,1.12,0.69,3.25,1.46,1.32,0.66
Financial Leverage (Average),3.19,3.0,2.53,2.51,2.41,2.39,2.37,2.55,2.81,2.23,2.29
Return on Equity %,22.38,10.77,0.97,6.26,12.21,2.68,1.65,8.01,3.9,3.31,1.5
Return on Invested Capital %,9.78,6.75,0.44,5.18,8.43,4.02,3.34,5.95,3.7,3.57,2.74
Interest Coverage,,,,,,,,,,,
