Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-6.83,-20.12,-23.88,15.83,11.0,13.28,11.8,9.08,9.17,3.58,-2.43
3-Year Average,-3.07,-9.79,-17.25,-11.03,-0.71,13.35,12.02,11.37,10.01,7.25,
5-Year Average,-1.91,-6.12,-11.15,-8.33,-6.14,-2.4,4.39,12.18,10.86,9.33,
10-Year Average,5.55,-1.31,-6.07,-4.91,-3.61,-2.15,-1.01,-0.16,0.81,1.3,
