Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,18.82,-29.6,9.82,3.48,-21.9,26.3,13.8,13.94,12.86,9.9,38.16
3-Year Average,12.78,-6.97,-2.79,-7.16,-3.9,0.69,3.93,17.87,13.53,12.22,
5-Year Average,20.33,2.17,2.1,-1.76,-5.78,-4.62,4.99,5.77,7.62,15.23,
10-Year Average,10.0,9.71,9.07,6.1,5.06,7.13,3.57,3.92,2.82,4.19,
