Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,94.53,-1.84,10.82,16.7,13.62,2.21,1.96,-0.01,-12.3,
3-Year Average,,26.21,34.43,28.38,8.28,13.69,10.66,5.79,1.38,-3.66,
5-Year Average,,24.1,16.23,16.94,25.73,22.91,8.07,8.89,6.68,0.75,
10-Year Average,,,,,13.16,14.76,15.81,12.5,11.69,12.55,
