Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,23.28,25.7,28.27,-15.7,57.6,-48.03,67.67,5.63,3.47,31.08,
Free Cash Flow Growth % YOY,-46.23,25.93,-11.97,-18.02,196.8,,,-16.5,4.37,87.49,
Cap Ex as a % of Sales,11.99,12.61,18.86,16.32,16.62,18.11,16.46,19.25,14.86,14.79,15.74
Free Cash Flow/Sales %,7.16,7.54,6.52,5.44,14.77,-0.51,15.38,11.9,9.31,18.15,4.64
Free Cash Flow/Net Income,0.4,0.41,0.33,0.34,0.79,-0.03,2.5,0.92,0.58,1.05,0.27
