Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,76.89,79.36,78.52,76.04,75.75,77.5,77.09,75.96,77.67,76.39,76.01
Gross Margin,23.11,20.64,21.48,23.96,24.25,22.5,22.91,24.04,22.33,23.61,23.99
SG&A,11.23,12.52,12.78,11.89,11.56,11.95,12.36,12.15,11.97,12.09,12.11
R&D,,,,,,,,,,,
Other,,1.09,1.04,,,,,,,,
Operating Margin,11.88,7.03,7.66,12.07,12.69,10.56,10.55,11.89,10.37,11.53,11.88
Net Int Inc & Other,-0.95,-0.41,-0.11,-0.62,-0.7,-0.48,1.23,-0.63,-0.56,-0.48,-0.72
EBT Margin,10.92,6.63,7.55,11.45,11.99,10.07,11.78,11.27,9.81,11.05,11.15
