Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,555.69,,,,183.16,9.26,-5.44,-13.78,11.5,7.05,-12.59
3-Year Average,37.48,,,-0.81,,,43.02,-3.78,-3.13,0.96,
5-Year Average,38.28,,,98.57,83.95,26.21,,,22.97,1.23,
10-Year Average,47.07,,,28.76,33.26,32.24,29.53,20.97,55.31,35.43,
