Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,74.51,76.17,76.95,75.36,75.31,74.81,75.56,74.7,76.43,76.53,76.52
Gross Margin,25.49,23.83,23.05,24.64,24.69,25.19,24.44,25.3,23.57,23.47,23.48
SG&A,14.03,16.14,14.61,15.16,15.27,15.64,15.46,16.3,15.47,15.37,15.03
R&D,,,,,,,,,,,
Other,75.56,77.38,78.09,76.49,76.42,75.99,76.68,75.83,77.51,77.64,77.64
Operating Margin,10.41,6.48,7.3,8.35,8.31,8.37,7.86,7.87,7.01,7.0,7.33
Net Int Inc & Other,-0.72,-0.79,-0.63,-0.51,-0.5,-0.57,-0.58,-0.47,-0.5,-0.58,-0.58
EBT Margin,9.68,5.7,6.67,7.84,7.81,7.79,7.28,7.4,6.51,6.42,6.75
