Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,20.67,4.97,5.53,-4.24,41.93,2.94,4.63,-2.39,-6.63,-2.62,22.88
3-Year Average,19.9,19.98,10.16,1.99,12.77,11.84,15.2,1.68,-1.57,-3.9,
5-Year Average,23.9,16.51,13.81,11.78,12.68,9.16,9.09,7.4,6.86,-0.9,
10-Year Average,11.4,11.32,11.67,13.06,15.28,16.29,12.74,10.56,9.29,5.67,
