Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,22.47,24.2,24.19,23.98,25.2,25.16,27.4,26.59,30.02,31.0,27.87
Gross Margin,77.53,75.8,75.81,76.02,74.8,74.84,72.6,73.41,69.98,69.0,72.13
SG&A,38.22,43.02,43.07,43.46,44.75,40.75,38.85,37.92,38.21,38.17,38.12
R&D,5.38,4.67,5.02,5.18,5.36,5.05,4.39,4.01,4.48,4.76,4.74
Other,5.0,1.66,2.84,5.66,1.69,5.62,6.25,9.28,19.49,15.33,16.01
Operating Margin,28.93,26.45,24.88,21.72,23.0,23.42,23.11,22.2,7.79,10.75,13.26
Net Int Inc & Other,0.1,0.77,-0.5,-1.34,-1.02,-1.28,-1.31,-2.09,-5.24,-5.55,-5.28
EBT Margin,29.03,27.22,24.37,20.38,21.99,22.14,21.8,20.1,2.55,5.2,7.98
