Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-93.12,119.0,-41.62,,,-109.2
3-Year Average,,,,,,49.59,94.26,-55.53,,,
5-Year Average,,,,,,,,33.75,,,
10-Year Average,,,,,,,,,,,
