Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-75.37,,,725.9,-14.79,11.65,19.24,33.73,63.81,19.06,
Free Cash Flow Growth % YOY,,,,,,-44.97,,,,,
Cap Ex as a % of Sales,26.82,7.77,8.72,48.58,8.33,13.35,34.82,33.65,25.84,22.4,24.77
Free Cash Flow/Sales %,-25.15,-8.87,-5.99,-27.76,7.76,4.16,-16.32,-13.32,-1.88,3.03,3.89
Free Cash Flow/Net Income,2.41,0.88,-1.66,-24.3,1.36,0.56,-4.12,-1.23,-0.19,0.23,0.28
