Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-7.54,,,,,,0.18,2.94,-8.05,9.51,
3-Year Average,14.95,,,,,,,,-1.76,1.2,
5-Year Average,15.08,,,,,-2.19,,,,,
10-Year Average,15.36,,,,,6.09,5.58,3.44,0.6,-1.5,
