Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,-5.45,10.35,22.74,-5.43,8.55,66.16,-79.1,516.83,22.03,-8.76,
Free Cash Flow Growth % YOY,9.3,244.06,34.0,-14.53,-17.25,96.52,,,28.19,-15.31,
Cap Ex as a % of Sales,9.48,4.56,4.12,4.55,6.45,7.74,7.06,6.8,6.76,6.79,6.79
Free Cash Flow/Sales %,2.64,9.65,11.81,9.23,6.73,11.82,-3.36,12.76,14.71,11.86,11.86
Free Cash Flow/Net Income,0.87,2.41,1.34,0.87,0.65,211.7,-0.27,0.89,1.11,0.92,0.92
