Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.05,13.11,7.08,1.74,5.74,16.29,19.9,16.65,56.58,-39.06,15.98
3-Year Average,14.29,13.83,11.37,7.21,4.83,7.75,13.82,17.61,29.87,3.64,
5-Year Average,15.05,13.11,12.58,9.95,8.25,8.67,9.94,11.84,21.91,9.19,
10-Year Average,28.89,25.11,21.59,17.14,13.68,11.81,11.51,12.21,15.78,8.72,
