Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,11.49,-1.85,-14.59,5.5,9.53,3.82,24.99,4.42,8.73,17.87,-27.91
3-Year Average,8.96,4.18,-2.23,-4.01,-0.44,6.26,12.44,10.66,12.37,10.2,
5-Year Average,6.72,8.87,1.64,0.38,1.55,0.11,5.07,9.38,10.04,11.67,
10-Year Average,4.15,2.7,-0.17,-0.57,6.38,3.36,6.96,5.44,5.1,6.49,
