Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,14.57,4.34,-2.9,-0.5,5.59,3.37,6.08,4.23,-5.73,2.59,10.27
3-Year Average,8.87,8.06,5.1,0.27,0.67,2.79,5.01,4.56,1.39,0.27,
5-Year Average,10.97,8.77,5.51,4.04,4.05,1.93,2.27,3.73,2.62,2.03,
10-Year Average,10.44,10.42,8.46,7.77,7.02,6.36,5.47,4.61,3.33,3.03,
