Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,19.32,19.36,20.12,20.36,22.17,22.36,23.11,22.21,23.14,22.41,23.65
Gross Margin,80.68,80.64,79.88,79.64,77.83,77.64,76.89,77.79,76.86,77.59,76.35
SG&A,37.21,32.81,32.59,32.93,30.99,32.64,29.04,29.57,28.52,27.59,27.78
R&D,31.28,29.88,30.87,32.54,32.03,33.12,34.1,34.93,34.62,35.36,33.29
Other,2.46,1.55,1.1,0.84,0.95,1.06,1.18,1.21,1.83,1.53,2.55
Operating Margin,9.74,16.39,15.31,13.33,13.86,10.82,12.56,12.09,11.88,13.1,12.72
Net Int Inc & Other,3.94,-0.01,1.82,1.05,0.41,0.63,1.49,1.14,0.68,0.5,1.03
EBT Margin,13.67,16.38,17.14,14.39,14.27,11.45,14.05,13.23,12.56,13.6,13.75
