Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,790.42,-67.13,80.68,45.35,-0.76,159.76,-78.02,176.34,
3-Year Average,,,,,74.23,-4.78,37.62,55.32,-17.25,16.42,
5-Year Average,,,,,,,50.14,17.35,8.27,17.88,
10-Year Average,,,,,,,,,,,
