Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,9.51,-7.27,-5.12,-2.58,-23.33,0.42,4.07,1.8,-1.32,-0.06,10.08
3-Year Average,-0.12,-5.72,-1.23,-5.01,-10.85,-9.14,-7.12,2.09,1.49,0.13,
5-Year Average,3.1,-0.59,-2.6,-4.98,-6.37,-7.98,-5.83,-4.49,-4.25,0.97,
10-Year Average,12.92,9.52,4.68,2.32,-1.36,-2.59,-3.24,-3.55,-4.61,-2.77,
