Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,22.52,-26.47,32.5,18.97,2.79,31.17,12.19,-12.89,-23.68,29.64,166.67
3-Year Average,,6.2,6.08,7.68,17.74,17.42,14.79,8.63,-9.31,-4.83,
5-Year Average,17.98,5.64,,14.23,9.23,10.54,18.97,10.6,0.11,4.87,
10-Year Average,,,,,18.77,13.93,12.57,,7.43,7.18,
