Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,19.09,7.67,-31.27,81.39,25.71,17.05,3.17,9.55,-0.66,1.83,17.02
3-Year Average,63.12,84.33,-4.12,10.31,16.16,38.72,14.93,9.78,3.94,3.48,
5-Year Average,49.83,68.07,26.29,50.84,14.98,14.59,13.61,24.71,10.56,6.0,
10-Year Average,13.03,-0.11,-7.46,23.74,27.14,31.03,38.18,25.5,29.14,10.4,
