Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,20.4,6.7,8.68,45.72,40.98,13.19,23.31,14.08,17.15,10.5,3.9
3-Year Average,24.01,20.51,11.77,19.11,30.7,32.48,25.31,16.77,18.12,13.88,
5-Year Average,19.47,20.42,17.2,22.61,23.46,21.94,25.52,26.75,21.33,15.56,
10-Year Average,,,,,21.19,20.7,22.95,21.88,21.97,19.45,
