Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-26.65,-28.35,34.69,28.86,33.06,-21.15,-44.72,-39.28,-30.88,64.62
3-Year Average,,,,-10.88,7.54,32.18,10.57,-16.6,-35.79,-38.55,
5-Year Average,,,,,,3.95,5.46,0.13,-14.62,-24.62,
10-Year Average,,,,,,,,,,,
