Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-4.31,-11.87,44.72,2.57,17.49,-45.37,9.18,-18.36,174.43,-71.13,68.23
3-Year Average,-2.07,-7.04,6.87,9.37,20.37,-13.0,-11.17,-21.32,34.74,-13.51,
5-Year Average,-6.66,-8.68,3.67,3.58,8.02,-3.43,0.79,-10.11,9.44,-17.34,
10-Year Average,,0.77,4.44,3.51,3.15,-5.06,-4.06,-3.46,6.47,-5.51,
