Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,25.21,-53.35,93.72,33.34,10.86,75.02,-51.85,43.91,39.93,31.57,5.55
3-Year Average,,,4.21,6.41,42.01,37.28,-2.24,6.64,-1.02,38.37,
5-Year Average,,,,,10.84,18.52,19.27,12.38,13.47,17.43,
10-Year Average,,,,,,,,,,14.09,
