Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,-237.0,96.0,186.0,-254.0,,,
Free Cash Flow Growth % YOY,,889.0,,,,,178.0,-224.0,,,
Cap Ex as a % of Sales,1.15,2.64,7.1,23.54,101.69,0.24,0.22,0.04,0.12,0.34,0.26
Free Cash Flow/Sales %,80.24,68.82,24.2,46.93,-24.07,77.87,56.57,57.92,66.61,55.71,62.91
Free Cash Flow/Net Income,0.83,-25.88,1.61,1.2,-0.39,1.53,2.59,-2.83,1.63,1.47,1.39
