Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,91.16,-64.18,,,-61.11,57.14,25.0,16.36,18.75,11.84,
3-Year Average,75.19,7.83,,2.43,5.27,,-8.59,31.73,19.98,15.62,
5-Year Average,56.71,24.05,,30.34,-4.39,-8.07,18.04,,1.09,24.87,
10-Year Average,,,,,14.36,20.03,21.01,17.78,14.79,9.26,
