Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,34.51,56.08,56.6,59.95,58.43,47.71,42.97,43.11,37.68,33.97,32.5
Gross Margin,65.49,43.92,43.4,40.05,41.57,52.29,57.03,56.89,62.32,66.03,67.5
SG&A,3.96,3.86,4.52,4.26,3.57,4.44,4.4,4.72,6.17,6.14,5.92
R&D,,,,,,,,,,,
Other,43.77,19.07,44.71,20.21,21.11,33.75,25.04,12.91,8.93,7.02,13.08
Operating Margin,17.77,20.99,-5.82,15.58,16.89,14.1,27.59,39.27,47.23,52.87,48.5
Net Int Inc & Other,-17.77,-14.59,-14.33,-12.36,-17.16,-22.3,-21.97,-18.75,-27.71,-18.21,-16.79
EBT Margin,,6.4,-20.15,3.22,-0.27,-8.2,5.62,20.51,19.51,34.66,31.71
