Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,74.39,,,,-74.16,16.31,46.23,224.33,-72.29,102.96,
3-Year Average,-14.93,,,17.48,,,-23.97,76.7,9.54,22.19,
5-Year Average,26.8,,,11.81,-6.08,-13.39,,,-16.95,25.41,
10-Year Average,8.73,,,4.31,-0.67,4.8,7.35,3.59,-3.64,8.53,
