Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,6.34,8.43,8.18,9.4,7.07,8.13,9.02,7.22,5.61,7.55,9.07
Gross Margin,93.66,91.57,91.82,90.6,92.93,91.87,90.98,92.78,94.39,92.45,90.93
SG&A,,,,,,,,,,,
R&D,,,,,,,,,,,
Other,85.27,82.03,95.85,85.93,87.19,85.77,86.91,88.01,88.52,87.09,83.83
Operating Margin,9.29,10.25,-3.63,5.78,5.75,6.48,4.95,5.96,6.09,5.51,7.14
Net Int Inc & Other,-0.2,-0.72,-0.73,-0.27,-0.45,-0.87,-0.54,-0.52,-0.47,-0.38,-0.33
EBT Margin,9.08,9.53,-4.36,5.5,5.3,5.61,4.41,5.43,5.62,5.13,6.8
