Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,13.2,7.56,9.15,1.52,0.65,-3.56,-0.94,-1.17,2.0,-0.37,-1.95
3-Year Average,12.41,11.31,9.95,6.02,3.7,-0.49,-1.3,-1.9,-0.05,0.14,
5-Year Average,14.52,12.01,10.77,8.85,6.31,2.96,1.28,-0.72,-0.62,-0.82,
10-Year Average,20.96,19.41,13.57,12.1,10.39,8.59,6.51,4.87,4.01,2.68,
