Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,305.34,-38.29,-16.84,48.5,-2.03,-9.04,9.38,7.53,3.38,-74.77,
3-Year Average,257.33,73.08,27.65,-8.66,6.56,9.79,-0.85,2.27,6.73,-34.54,
5-Year Average,64.43,,87.88,44.97,24.79,-7.45,3.78,9.25,1.62,-22.53,
10-Year Average,,24.78,11.93,32.71,25.33,23.36,,43.27,21.37,-1.68,
