Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,23.69,0.45,35.05,30.6,19.57,7.56,16.93,10.84,3.92,4.76,2.41
3-Year Average,32.2,18.34,18.83,21.0,28.24,18.87,14.57,11.71,10.43,6.46,
5-Year Average,41.19,30.71,25.67,23.93,21.24,17.9,21.54,16.83,11.61,8.7,
10-Year Average,63.37,37.12,23.29,26.78,28.96,29.02,26.04,21.17,17.61,14.8,
