Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,65.02,-94.7,2730.19,96.0,25.44,177.03,
3-Year Average,,,,,,,35.27,43.26,311.31,89.56,
5-Year Average,,,,,,,,,43.5,59.17,
10-Year Average,,,,,,,,,,,
