Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-6.53,-19.89,-18.79,17.36,0.7,18.18,26.63,26.64,0.74,27.11,144.19
3-Year Average,11.14,-4.86,-15.28,-8.6,-1.36,11.78,14.65,23.75,17.33,17.48,
5-Year Average,14.99,4.95,-2.24,-3.87,-6.4,-1.9,7.51,17.5,13.97,19.4,
10-Year Average,21.86,15.92,10.71,10.41,8.2,6.21,6.22,7.18,4.67,5.72,
