Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,28.43,28.78,27.06,23.02,21.41,19.19,19.38,18.65,18.2,17.36,16.85
Gross Margin,71.57,71.22,72.94,76.98,78.59,80.81,80.62,81.35,81.8,82.64,83.15
SG&A,59.07,45.4,36.02,32.49,27.02,21.4,18.6,18.76,18.59,17.36,17.97
R&D,11.83,11.05,8.5,7.89,6.9,7.06,7.28,6.71,6.01,5.17,4.61
Other,29.68,19.43,2.44,2.48,2.01,,,,,,
Operating Margin,-29.0,-4.65,25.97,34.13,42.67,52.35,54.73,55.88,57.2,60.11,60.57
Net Int Inc & Other,11.16,8.86,-5.75,-20.12,-17.59,-5.11,-7.4,-8.03,-11.17,-9.23,-8.76
EBT Margin,-17.84,4.2,20.22,14.01,25.08,47.24,47.33,47.85,46.03,50.88,51.81
