Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,11.49,-9.47,4.25,6.48,2.18,3.05,6.51,2.24,2.05,3.93
3-Year Average,,15.76,4.9,1.71,0.16,4.29,3.89,3.89,3.92,3.58,
5-Year Average,,16.35,10.05,7.92,5.08,2.74,1.14,4.48,4.07,3.19,
10-Year Average,,22.85,16.4,10.31,7.56,7.24,8.47,7.23,5.98,4.13,
