Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-13.27,-22.65,4.98,93.58,-16.38,-54.97,156.99,-7.24,-17.22,-21.72,259.14
3-Year Average,5.26,-10.58,-11.03,16.27,19.33,-10.0,-1.09,2.39,25.43,-15.61,
5-Year Average,19.44,6.38,-1.08,7.76,2.66,-9.96,14.48,11.68,-5.77,-7.0,
10-Year Average,13.31,12.77,5.92,10.04,12.47,3.7,10.36,5.11,0.77,-2.29,
